id,risk,year,x,y,risk_renamed,category
139,Misuse of technologies,2015,4.315,4.387,Misuse of technologies,Technological
140,Large-scale involuntary migration,2015,4.817,4.443,Large-scale involuntary migration,Societal
141,Data fraud or theft,2015,5.179,4.463,Data fraud or theft,Technological
142,State collapse or crisis,2015,5.376,4.486,State collapse or crisis,Geopolitical
143,Extreme weather events,2015,5.575,4.501,Extreme weather events,Environmental
144,Failure of national governance,2015,5.48,4.56,Failure of national governance,Geopolitical
145,Profound social instability,2015,4.903,4.803,Profound social instability,Societal
146,Food crises,2015,4.86,4.811,Food crises,Societal
147,Failure of financial mechanism or institution,2015,4.529,4.876,Failure of financial mechanism or institution,Economic
148,Biodiversity loss and ecosystem collapse,2015,4.53,4.946,Biodiversity loss and ecosystem collapse,Environmental
149,Terrorist attacks,2015,4.913,4.893,Terrorist attacks,Geopolitical
150,Asset bubbles in a major economy,2015,4.969,4.905,Asset bubbles in a major economy,Economic
151,Cyberattacks,2015,5.083,4.94,Cyberattacks,Technological
152,Unemployment or underemployment,2015,5.342,5.024,Unemployment or underemployment,Economic
153,Interstate conflict,2015,5.716,5.161,Interstate conflict,Geopolitical
154,Failure of climate-change mitigation and adaptation,2015,5.288,5.109,Failure of climate-change mitigation and adaptation,Environmental
155,Water crises,2015,5.232,5.265,Water crises,Societal
156,Fiscal crises,2015,4.81,5.078,Fiscal crises,Economic
157,Energy price shock,2015,4.46,5.107,Energy price shock,Economic
158,Critical information infrastructure breakdown,2015,4.307,5.102,Critical information infrastructure breakdown,Technological
159,Spread of infectious diseases,2015,4.492,5.228,Spread of infectious diseases,Societal
160,Weapons of mass destruction,2015,3.704,5.209,Weapons of mass destruction,Geopolitical
161,Failure of urban planning,2016,4.736,3.768,Failure of urban planning,Societal
162,Failure of critical infrastructure,2016,4.331,4.124,Failure of critical infrastructure,Economic
163,Illicit trade,2016,5.152,4.228,Illicit trade,Economic
164,Man-made environmental catastrophes,2016,5.069,4.33,Man-made environmentaldisasters,Environmental
165,State collapse or crisis,2016,5.077,4.391,State collapse or crisis,Geopolitical
166,Data fraud or theft,2016,5.196,4.454,Data fraud or theft,Technological
167,Failure of national governance,2016,5.291,4.474,Failure of national governance,Geopolitical
168,Natural catastrophes,2016,5.305,4.477,Natural disasters,Environmental
169,Unmanageable inflation,2016,3.584,4.388,Unmanageable inflation,Economic
170,Deflation,2016,4.521,4.519,Deflation,Economic
171,Adverse consequences of technological advances,2016,4.272,4.556,Adverse consequences of technological advances,Technological
172,Extreme weather events,2016,5.613,4.646,Extreme weather events,Environmental
173,Failure of financial mechanism or institution,2016,4.536,4.812,Failure of financial mechanism or institution,Economic
174,Critical information infrastructure breakdown,2016,4.226,4.843,Critical information infrastructure breakdown,Technological
175,Terrorist attacks,2016,4.826,4.839,Terrorist attacks,Geopolitical
176,Food crises,2016,4.811,4.956,Food crises,Societal
177,Interstate conflict,2016,5.371,4.919,Interstate conflict,Geopolitical
178,Unemployment or underemployment,2016,5.201,4.927,Unemployment or underemployment,Economic
179,Cyberattacks,2016,5.132,4.973,Cyberattacks,Technological
180,Profound social instability,2016,5.081,4.984,Profound social instability,Societal
181,Asset bubble,2016,5.036,5.004,Asset bubbles in a major economy,Economic
182,Fiscal crises,2016,4.969,5.051,Fiscal crises,Economic
183,Biodiversity loss and ecosystem collapse,2016,4.76,5.137,Biodiversity loss and ecosystem collapse,Environmental
184,Energy price shock,2016,4.721,5.146,Energy price shock,Economic
185,Spread of infectious diseases,2016,4.152,5.014,Spread of infectious diseases,Societal
186,Weapons of mass destruction,2016,3.716,5.216,Weapons of mass destruction,Geopolitical
187,Water crises,2016,5.196,5.216,Water crises,Societal
188,Large-scale involuntary migration,2016,5.81,5.188,Large-scale involuntary migration,Societal
189,Failure of climate-change mitigation and adaptation,2016,5.4,5.333,Failure of climate-change mitigation and adaptation,Environmental
190,Adverse consequences of technological advances,2017,4.352,2.959,Adverse consequences of technological advances,Technological
191,Failure of urban planning,2017,4.732,2.993,Failure of urban planning,Societal
192,Unmanageable inflation,2017,3.614,3.124,Unmanageable inflation,Economic
193,Illicit trade,2017,5.462,3.144,Illicit trade,Economic
194,Deflation,2017,4.512,3.2,Deflation,Economic
195,Data fraud or theft,2017,5.553,3.268,Data fraud or theft,Technological
196,Failure of critical infrastructure,2017,4.461,3.319,Failure of critical infrastructure,Economic
197,Energy price shock,2017,4.631,3.33,Energy price shock,Economic
198,Critical information infrastructure breakdown,2017,4.321,3.384,Critical information infrastructure breakdown,Technological
199,Failure of regional or global governance,2017,4.768,3.396,Failure of regional or global governance,Geopolitical
200,Profound social instability,2017,4.85,3.431,Profound social instability,Societal
201,State collapse or crisis,2017,5.015,3.41,State collapse or crisis,Geopolitical
202,Asset bubbles in a major economy,2017,5.069,3.431,Asset bubbles in a major economy,Economic
203,Failure of financial mechanism or institution,2017,4.675,3.48,Failure of financial mechanism or institution,Economic
204,Failure of national governance,2017,5.184,3.506,Failure of national governance,Geopolitical
205,Man-made environmental disasters,2017,5.286,3.526,Man-made environmental disasters,Environmental
206,Biodiversity loss and ecosystem collapse,2017,4.828,3.526,Biodiversity loss and ecosystem collapse,Environmental
207,Fiscal crises,2017,4.87,3.547,Fiscal crises,Economic
208,Cyberattacks,2017,5.514,3.54,Cyberattacks,Technological
209,Spread of infectious diseases,2017,4.325,3.563,Spread of infectious diseases,Societal
210,Food crises,2017,4.785,3.596,Food crises,Societal
211,Unemployment or underemployment,2017,5.059,3.575,Unemployment or underemployment,Economic
212,Interstate conflict,2017,5.186,3.587,Interstate conflict,Geopolitical
213,Terrorist attacks,2017,5.585,3.592,Terrorist attacks,Geopolitical
214,Large-scale involuntary migration,2017,5.635,3.65,Large-scale involuntary migration,Societal
215,Failure of climate-change mitigation and adaptation,2017,5.181,3.668,Failure of climate-change mitigation and adaptation,Environmental
216,Water crises,2017,4.932,3.772,Water crises,Societal
217,Natural disasters,2017,5.611,3.772,Natural disasters,Environmental
218,Extreme weather events,2017,5.883,3.82,Extreme weather events,Environmental
219,Weapons of mass destruction,2017,3.862,3.928,Weapons of mass destruction,Geopolitical
220,Unmanageable inflation,2018,2.46,2.931,Unmanageable inflation,Economic
221,Deflation,2018,2.955,2.941,Deflation,Economic
222,Illicit trade,2018,3.663,2.981,Illicit trade,Economic
223,Failure of urban planning,2018,3.506,3.054,Failure of urban planning,Societal
224,Adverse consequences of technological advances,2018,3.328,3.096,Adverse consequences of technological advances,Technological
225,Failure of financial mechanism or institution,2018,3.172,3.161,Failure of financial mechanism or institution,Economic
226,Energy price shock,2018,3.094,3.158,Energy price shock,Economic
227,Failure of critical infrastructure,2018,3.306,3.246,Failure of critical infrastructure,Economic
228,State collapse or crisis,2018,3.359,3.25,State collapse or crisis,Geopolitical
229,Asset bubbles in a major economy,2018,3.595,3.285,Asset bubbles in a major economy,Economic
230,Data fraud or theft,2018,3.975,3.306,Data fraud or theft,Technological
231,Terrorist attacks,2018,3.722,3.36,Terrorist attacks,Geopolitical
232,Failure of national governance,2018,3.509,3.353,Failure of national governance,Geopolitical
233,Unemployment or underemployment,2018,3.438,3.355,Unemployment or underemployment,Economic
234,Fiscal crises,2018,3.299,3.356,Fiscal crises,Economic
235,Profound social instability,2018,3.33,3.369,Profound social instability,Societal
236,Critical information infrastructure breakdown,2018,3.229,3.439,Critical information infrastructure breakdown,Technological
237,Interstate conflict,2018,3.492,3.444,Interstate conflict,Geopolitical
238,Spread of infectious diseases,2018,3.031,3.501,Spread of infectious diseases,Societal
239,Food crises,2018,3.44,3.558,Food crises,Societal
240,Biodiversity loss and ecosystem collapse,2018,3.586,3.543,Biodiversity loss and ecosystem collapse,Environmental
241,Large-scale involuntary migration,2018,3.775,3.517,Large-scale involuntary migration,Societal
242,Man-made environmental disasters,2018,3.774,3.462,Man-made environmental disasters,Environmental
243,Cyberattacks,2018,4.005,3.641,Cyberattacks,Technological
244,Water crises,2018,3.575,3.707,Water crises,Societal
245,Failure of climate-change mitigation and adaptation,2018,3.828,3.778,Failure of climate-change mitigation and adaptation,Environmental
246,Natural disasters,2018,4.173,3.864,Natural disasters,Environmental
247,Extreme weather events,2018,4.405,3.973,Extreme weather events,Environmental
248,Weapons of mass destruction,2018,3.025,3.993,Weapons of mass destruction,Geopolitical
249,Failure of regional or global governance,2018,3.316,3.297,Failure of regional or global governance,Geopolitical
250,Deflation,2019,2.772,2.893,Deflation,Economic
251,Illicit trade,2019,3.543,2.927,Illicit trade,Economic
252,Failure of urban planning,2019,3.498,3.111,Failure of urban planning,Societal
253,Adverse consequences of technological advances,2019,3.32,3.196,Adverse consequences of technological advances,Technological
254,Unmanageable inflation,2019,2.656,3.169,Unmanageable inflation,Economic
255,Energy price shock,2019,3.025,3.201,Energy price shock,Economic
256,Profound social instability,2019,3.38,3.288,Profound social instability,Societal
257,Failure of critical infrastructure,2019,3.218,3.294,Failure of critical infrastructure,Economic
258,Unemployment or underemployment,2019,3.318,3.33,Unemployment or underemployment,Economic
259,State collapse or crisis,2019,3.017,3.365,State collapse or crisis,Geopolitical
260,Terrorist attacks,2019,3.163,3.396,Terrorist attacks,Geopolitical
261,Failure of regional or global governance,2019,3.367,3.382,Failure of regional or global governance,Geopolitical
262,Asset bubbles in a major economy,2019,3.62,3.373,Asset bubbles in a major economy,Economic
263,Data fraud or theft,2019,3.88,3.425,Data fraud or theft,Technological
264,Large-scale involuntary migration,2019,3.721,3.516,Large-scale involuntary migration,Societal
265,Interstate conflict,2019,3.548,3.497,Interstate conflict,Geopolitical
266,Failure of regional or global governance,2019,3.532,3.463,Failure of regional or global governance,Geopolitical
267,Fiscal crises,2019,3.375,3.491,Fiscal crises,Economic
268,Food crises,2019,3.117,3.441,Food crises,Societal
269,Failure of financial mechanism or institution,2019,3.04,3.46,Failure of financial mechanism or institution,Economic
270,Spread of infectious diseases,2019,3.071,3.589,Spread of infectious diseases,Societal
271,Critical information infrastructure breakdown,2019,3.381,3.7,Critical information infrastructure breakdown,Technological
272,Water crises,2019,3.638,3.755,Water crises,Societal
273,Biodiversity loss and ecosystem collapse,2019,3.698,3.725,Biodiversity loss and ecosystem collapse,Environmental
274,Man-made environmental disasters,2019,3.767,3.593,Man-made environmental disasters,Environmental
275,Cyberattacks,2019,3.831,3.717,Cyberattacks,Technological
276,Natural disasters,2019,3.965,3.753,Natural disasters,Environmental
277,Failure of climate-change mitigation and adaptation,2019,4.057,3.874,Failure of climate-change mitigation and adaptation,Environmental
278,Extreme weather events,2019,4.354,3.87,Extreme weather events,Environmental
279,Weapons of mass destruction,2019,2.456,3.932,Weapons of mass destruction,Geopolitical
